MELD_Split,MELD_Row_ID,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,match_status,match_score,match_text_score,meld_group_size,meld_group_utterance,a_scan_count,friends_utterance_id,friends_global_utterance_id,friends_speaker,friends_utterance
train,68,2960,Barry?,Rachel,surprise,positive,296,15,1,2,"0:15:45,778","0:15:46,279",unmatched,0.3244,0.4444,1,Barry?,43,,,,
train,69,2961,C'mon in.,Barry,neutral,neutral,296,16,1,2,"0:15:46,279","0:15:48,348",unmatched,0.3086,0.4286,1,C'mon in.,43,,,,
train,70,2962,Are you sure?,Rachel,surprise,positive,296,17,1,2,"00:15:48,489","00:15:49,447",unmatched,0.4255,0.5455,1,Are you sure?,43,,,,
train,71,2963,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Barry,neutral,neutral,296,18,1,2,"00:15:49,657","00:15:52,116",unmatched,0.3531,0.4731,1,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",43,,,,
train,72,2964,Huh?!,Robbie,surprise,negative,296,19,1,2,"00:15:52,326","00:15:53,493",unmatched,0.2900,0.2500,1,Huh?!,43,,,,
train,73,2965,"So, how ya doin?",Barry,neutral,neutral,296,20,1,2,"00:15:56,705","00:15:58,414",unmatched,0.3804,0.3404,1,"So, how ya doin?",43,,,,
test,6,2182,"Yeah, and and, I'm just gonna pay for this with a check.",Rachel,neutral,neutral,221,3,1,2,"0:15:59,583","0:16:05,339",unmatched,0.3540,0.3140,1,"Yeah, and and, I'm just gonna pay for this with a check. Yeah, I know...  ..I'm I'm just not that bright either.",43,,,,
test,7,2183,"Yeah, I know...  ..I'm I'm just not that bright either.",Rachel,sadness,negative,221,4,1,2,"0:16:05,339","0:16:05,860",unmatched,0.4078,0.5278,1,"Yeah, I know...  ..I'm I'm just not that bright either.",43,,,,
train,74,6772,Sorry about that. So. What have you been up to?,Barry,neutral,neutral,669,0,1,2,"00:17:27,337","00:17:35,344",unmatched,0.3148,0.4348,1,Sorry about that. So. What have you been up to?,43,,,,
train,75,6773,"Oh, not much. I-I got a job.",Rachel,joy,positive,669,1,1,2,"00:17:35,554","00:17:41,392",unmatched,0.2918,0.4118,1,"Oh, not much. I-I got a job.",43,,,,
train,76,6774,"Oh, that's great.",Barry,joy,positive,669,2,1,2,"00:17:38,599","00:17:41,392",unmatched,0.3600,0.4800,1,"Oh, that's great.",43,,,,
train,77,6775,Why are- why are you so tanned?,Rachel,surprise,positive,669,3,1,2,"00:17:42,519","00:17:43,936",unmatched,0.3600,0.4800,1,Why are- why are you so tanned?,43,,,,
train,78,6776,"Oh, I, uh- I went to Aruba.",Barry,neutral,neutral,669,4,1,2,"00:17:45,022","00:17:48,649",unmatched,0.3383,0.4583,1,"Oh, I, uh- I went to Aruba.",43,,,,
test,8,2730,Hey.,Chandler,neutral,neutral,276,0,1,3,"00:00:03,253","00:00:04,378",exact,1.0000,1.0000,1,Hey.,29,30,574,Chandler,Hey!
train,79,7748,"Um, that's it.",Phoebe,neutral,neutral,779,0,1,3,"0:02:45,415","0:02:47,918",unmatched,0.7900,0.7500,1,"Um, that's it. No.",228,,,,
train,80,7749,No.,Phoebe,neutral,neutral,779,1,1,3,"0:02:47,918","0:02:48,085",fuzzy,0.8800,1.0000,1,No.,150,181,725,Paula,No.
train,81,8122,"I mean, why should I let them meet him?",Monica,neutral,neutral,818,0,1,3,"00:07:01,712","00:07:03,171",unmatched,0.4305,0.3905,1,"I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him.",77,,,,
train,82,8123,"I mean, I bring a guy home, and within five minutes they're all over him.",Monica,disgust,negative,818,1,1,3,"00:07:03,381","00:07:06,299",unmatched,0.5051,0.4651,1,"I mean, I bring a guy home, and within five minutes they're all over him.",77,,,,
train,83,8124,"I mean, they're like- coyotes, picking off the weak members of the herd.",Monica,joy,positive,818,2,1,3,"00:07:06,509","00:07:10,345",unmatched,0.4294,0.3894,1,"I mean, they're like- coyotes, picking off the weak members of the herd.",77,,,,
train,84,8125,Listen.,Paula,neutral,neutral,818,3,1,3,"00:07:11,055","00:07:15,392",unmatched,0.3460,0.3060,1,"Listen. As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing.",77,,,,
train,85,8126,"As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing.",Paula,neutral,neutral,818,4,1,3,"00:07:11,055","00:07:19,396",unmatched,0.3477,0.3077,1,"As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing.",77,,,,
train,86,8127,"I mean, they're your friends, they're just looking out after you.",Paula,neutral,neutral,818,5,1,3,"00:07:19,605","00:07:22,107",unmatched,0.3582,0.3182,1,"I mean, they're your friends, they're just looking out after you.",77,,,,
train,87,8128,"I know. I just wish that once, I'd bring a guy home that they actually liked.",Monica,sadness,negative,818,6,1,3,"00:07:22,316","00:07:25,652",unmatched,0.5141,0.4741,1,"I know. I just wish that once, I'd bring a guy home that they actually liked.",77,,,,
train,88,8129,"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..",Paula,neutral,neutral,818,7,1,3,"00:07:25,862","00:07:31,616",unmatched,0.4420,0.4020,1,"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..",77,,,,
train,89,1031,"Let it go, Ross.",Joey,neutral,neutral,107,0,1,3,"00:07:33,578","00:07:35,120",unmatched,0.5228,0.4828,1,"Let it go, Ross.",77,,,,
train,90,1032,"Yeah, well, you didn't know Chi Chi.",Ross,neutral,neutral,107,1,1,3,"00:07:35,329","00:07:37,080",unmatched,0.5479,0.5079,1,"Yeah, well, you didn't know Chi Chi.",77,,,,
train,91,1033,Do you all promise?,Monica,neutral,neutral,107,2,1,3,"00:07:41,252","00:07:42,419",unmatched,0.4084,0.3684,1,Do you all promise?,77,,,,
train,92,1035,Chandler? Do you promise to be good?,Monica,neutral,neutral,107,4,1,3,"00:07:45,548","00:07:48,467",unmatched,0.4733,0.4333,1,Chandler? Do you promise to be good?,77,,,,
train,93,1036,"You can come in, but your filter-tipped little buddy has to stay outside!",Joey,joy,positive,107,5,1,3,"00:07:56,058","00:08:00,270",unmatched,0.4289,0.3889,1,"You can come in, but your filter-tipped little buddy has to stay outside!",77,,,,
train,94,1037,"Hey, Pheebs.",Ross,neutral,neutral,107,6,1,3,"00:08:06,694","00:08:08,195",unmatched,0.5162,0.4762,1,"Hey, Pheebs.",77,,,,
train,95,1038,Dear Ms. Buffay.,Phoebe,neutral,neutral,107,7,1,3,"0:08:10,072","0:08:11,414",unmatched,0.4675,0.4275,1,Dear Ms. Buffay. We have credited your account with five hundred dollars.,77,,,,
train,96,1040,We have credited your account with five hundred dollars.,Phoebe,neutral,neutral,107,9,1,3,"0:08:10,072","0:08:16,287",unmatched,0.5228,0.4828,1,We have credited your account with five hundred dollars.,77,,,,
train,97,1039,Thank you for calling attention to our error.,Phoebe,neutral,neutral,107,8,1,3,"0:08:11,414","0:08:13,294",unmatched,0.4505,0.4105,1,"Thank you for calling attention to our error. We're sorry for the inconvenience, and hope you'll accept this-  -",77,,,,
train,98,1041,"We're sorry for the inconvenience, and hope you'll accept this-  -",Phoebe,neutral,neutral,107,10,1,3,"0:08:16,287","0:08:29,457",unmatched,0.3843,0.3443,1,"We're sorry for the inconvenience, and hope you'll accept this-  -",77,,,,
train,99,9108,Hi.. how was the game?,Monica,neutral,neutral,910,0,1,3,"00:10:57,198","00:10:58,365",unmatched,0.4322,0.3922,1,Hi.. how was the game?,77,,,,
train,100,9109,Well..,Ross,neutral,neutral,910,1,1,3,"00:10:59,742","00:11:01,117",unmatched,0.2133,0.3333,1,Well..,77,,,,
train,101,9110,WE WON!! Thank you! Yes!,All,joy,positive,910,2,1,3,"00:11:01,327","00:11:03,870",unmatched,0.3943,0.5143,1,WE WON!! Thank you! Yes!,77,,,,
train,102,9111,Fantastic! I have one question: How is that possible?,Monica,surprise,positive,910,3,1,3,"00:11:04,705","00:11:07,624",unmatched,0.4236,0.3836,1,Fantastic! I have one question: How is that possible?,77,,,,
train,103,9112,Alan.,Joey,neutral,neutral,910,4,1,3,"0:11:08,709","0:11:09,271",unmatched,0.2900,0.2500,1,Alan.,77,,,,
train,104,9113,He was unbelievable.,Ross,joy,positive,910,5,1,3,"0:11:09,271","0:11:11,057",unmatched,0.4302,0.3902,1,He was unbelievable.,77,,,,
train,105,9114,"He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Ross,joy,positive,910,6,1,3,"00:11:11,212","00:11:18,426",unmatched,0.3036,0.2636,1,"He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",77,,,,
